OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,MELVULC-5-041-030,-59.09,-16.81,44.99,0.06,2.82,,,,9.48,9.48,39.21,3.07,0.22,0.03,0.01,0.12
Atlantic,MELVULC-5-041-052,-59.09,-16.81,,,,,,,,,,,,,,
Atlantic,MELVULC-5-041-052,-59.09,-16.81,45.43,0.06,2.67,,,,8.50,8.50,41.00,2.05,0.16,0.01,0.01,0.11
Atlantic,MELVULC-5-041-055,-59.09,-16.81,,,,,,,,,,,,,,
Atlantic,MELVULC-5-041-055,-59.09,-16.81,45.84,0.06,1.89,,,,8.61,8.61,41.46,1.87,0.12,0.02,0.02,0.12
Atlantic,DSDP037-0334-026-002/005-010,37.04,-34.41,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-004,43.21,-28.93,,,,6.27,,1.78,,,,,,,,
Atlantic,AII0032-3-008-004,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-004,43.21,-28.93,45.10,0.01,1.15,,,,7.42,7.42,44.62,0.12,,0.01,0.01,0.06
Atlantic,AII0032-3-008-006,43.21,-28.93,,,,5.72,,2.57,,,,,,,,
Atlantic,AII0032-3-008-006,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-006,43.21,-28.93,43.04,0.00,0.83,,,,7.72,7.72,39.80,8.94,,0.01,,0.08
Atlantic,AII0032-3-008-012,43.21,-28.93,,,,6.76,,2.17,,,,,,,,
Atlantic,AII0032-3-008-012,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-012,43.21,-28.93,42.45,0.01,0.49,,,,8.25,8.25,45.70,2.61,,0.01,0.02,0.07
Atlantic,AII0032-3-008-016,43.21,-28.93,,,,5.51,,3.36,,,,,,,,
Atlantic,AII0032-3-008-016,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-016,43.21,-28.93,46.66,0.01,1.14,,,,8.32,8.32,43.16,0.79,,0.01,0.02,0.09
Atlantic,AII0032-3-008-025,43.21,-28.93,,,,6.80,,1.48,,,,,,,,
Atlantic,AII0032-3-008-025,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-025,43.21,-28.93,45.80,0.01,0.90,,,,7.60,7.60,45.17,,,0.01,0.02,0.09
Atlantic,AII0032-3-008-026,43.21,-28.93,,,,8.32,,1.68,,,,,,,,
Atlantic,AII0032-3-008-026,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-026,43.21,-28.93,45.92,0.01,0.37,,,,9.17,9.17,45.41,,,0.01,0.03,0.14
Atlantic,AII0032-3-008-087,43.21,-28.93,,,,5.96,,3.06,,,,,,,,
Atlantic,AII0032-3-008-087,43.21,-28.93,,,,,,,,,,,,,,
Atlantic,AII0032-3-008-087,43.21,-28.93,39.99,0.00,0.65,,,,8.42,8.42,40.91,11.14,,0.01,,0.10
Atlantic,AII0032-010-004,43.23,-29.16,,,,7.23,,1.68,,,,,,,,
Atlantic,AII0032-010-004,43.23,-29.16,,,,,,,,,,,,,,
Atlantic,AII0032-010-004,43.23,-29.16,42.79,0.01,0.64,,,,8.19,8.19,41.88,7.39,,0.01,,0.08
Atlantic,DAW7020-203-001,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-001,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-001,52.78,-33.82,,,,,,,,,,,0.10,0.03,,
Atlantic,DAW7020-203-001,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-001,52.78,-33.82,29.03,0.59,17.96,2.05,,13.30,,15.15,25.09,0.12,,,0.02,0.24
Atlantic,DAW7020-203-003,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-003,52.78,-33.82,,,,,,,,,,,0.21,0.03,,
Atlantic,DAW7020-203-003,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-003,52.78,-33.82,55.66,0.22,1.40,0.81,,3.09,,3.82,24.24,10.52,,,0.02,0.11
Atlantic,DAW7020-203-004,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-004,52.78,-33.82,,,,,,,,,,,0.82,0.03,,
Atlantic,DAW7020-203-004,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-004,52.78,-33.82,52.64,0.35,0.60,2.20,,3.66,,5.64,32.25,0.10,,,0.02,0.07
Atlantic,DAW7020-203-006,52.78,-33.82,,,,,,,,,,,,,,
Atlantic,DAW7020-203-006,52.78,-33.82,,,,,,,,,,,0.21,0.04,,
Atlantic,DAW7020-203-006,52.78,-33.82,,,,,,,,0.00,,,,,,
Atlantic,DAW7020-203-006,52.78,-33.82,50.04,0.12,2.87,1.25,,3.24,,4.37,29.11,0.88,,,0.04,0.07
Atlantic,CHR0004-002-001,52.70,-41.41,,,,,,,,,,,0.21,0.52,,
Atlantic,CHR0004-002-001,52.70,-41.41,37.80,0.22,3.75,,10.73,,,10.73,32.29,1.87,,,,0.10
Atlantic,CHR0004-002-002,52.70,-41.41,,,,,,,,,,,,,,
Atlantic,CHR0004-002-002,52.70,-41.41,,,,,,,,,,,,0.56,,
Atlantic,CHR0004-002-002,52.70,-41.41,38.60,0.05,2.70,,9.50,,,9.50,31.70,3.65,,,,0.10
Atlantic,CHR0004-002-004,52.70,-41.41,,,,,,,,,,,0.36,0.49,,
Atlantic,CHR0004-002-004,52.70,-41.41,36.20,0.44,6.50,,8.83,,,8.83,24.05,3.84,,,,0.17
Atlantic,DSDP045-0395-018-001/092-096,22.76,-46.08,41.54,0.17,1.02,3.34,,4.92,,7.93,40.10,1.61,0.08,0.08,0.01,0.10
Atlantic,DSDP045-0395-018-002/130-137,22.76,-46.08,40.79,0.17,2.76,3.52,,3.68,,6.85,38.04,1.36,0.08,0.09,0.01,0.09
Atlantic,DSDP045-0395A-004-002/063-066,22.76,-46.08,38.09,0.09,0.62,8.21,,0.57,,7.96,38.54,0.62,0.08,0.08,,0.07
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,0.02,0.10
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,0.00,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,44.77,0.09,6.27,,10.66,4.35,,10.66,35.31,1.85,,0.02,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,,,0.01,0.13
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,,,,,,,,,,,0.00,,,
Atlantic,DSDP045-0395-010-CC/000-000/P,22.76,-46.08,43.56,0.03,1.26,,9.95,0.93,,9.95,43.73,0.03,,0.02,,
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,,,,,,,,,,,,,0.02,0.11
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,,,,,,,,,,,0.03,,,
Atlantic,DSDP045-0395-018-001/061-070,22.76,-46.08,43.15,0.03,0.91,,10.25,4.55,,10.25,44.35,0.89,,0.00,,
Atlantic,DSDP045-0395-018-002/085-095,22.76,-46.08,,,,,,,,,,,,,,
